name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Universitas Bina Bangsa Getsempena,NUIyMEVEQkItQUEzRC00RDgwLTgyNEEtQ0IzMDE1MjBCMDk2,,Kota Banda Aceh,082321211883,info@bbg.ac.id,www.bbg.ac.id,0,1516,0,1525,0,2260,139,2460,217,3060,127,2649,225,4395,163,3021
Universitas Muhammadiyah Sumatera Utara,QUMxQUNEMkMtQzQ5OS00NUFDLUI3OTAtNzZGNUU3Mjk2REY5,Jl Kapt Mukhtar Basri Ba No 3 Glugur Darat II,Kec. Medan Timur,"061-6622400, 6624567",rektor@umsu.ac.id,www.umsu.ac.id,948,20418,923,20425,941,21694,934,20895,1032,22340,947,19879,1113,22849,1008,76
Universitas Medan Area,ODc0NDgxQTMtMzk2Ny00ODE0LTg3MjAtOEIxMkJFQUM3NTFF,1. Jalan Kolam No. 1 Medan Estate - Medan (Kampus Utama / I) 2. Jalan Setia Budi,Kec. Percut Sei Tuan,061-7366878,univ_medanarea@uma.ac.id,www.uma.ac.id,350,15193,344,12531,360,12774,353,12440,477,13139,433,12214,502,13261,480,11943
Universitas Potensi Utama,OUY2MDBGMEEtMEVDRi00Rjc1LTk3NTEtMDdBQTVFNUYyMDNF,"Jl. K.L. Yos Sudarso Km 6,5 No. 3A Tanjung Mulia - Medan ",Kec. Medan Deli,061-6640525,info@potensi-utama.ac.id,www.potensi-utama.ac.id,334,10761,264,10757,516,8027,463,7210,524,7483,426,7406,498,8820,456,7279
Universitas Tjut Nyak Dhien,NDREQUIwMjgtOUUxMy00RUJBLThBOTYtMEU2MzM0OUYwMjM4,Jalan Gatot Subroto / Jl. Rasmi No. 28  ,Kec. Medan Sunggal,061-8451508,univ.utnd@gmail.com,www.utnd.ac.id,109,1356,97,1326,117,1428,101,1428,141,1722,125,1766,150,2207,153,1796
Universitas HKBP Nommensen,OERDNUZGMjctQTFCQy00NjAxLUI4NTctRUYzNDY4QjIwQ0Q2,Jalan Dr Sutomo No 4-A ,Kota Medan,061-4522922,uhn@uhn.ac.id,www.uhn.ac.id,441,14059,364,13618,394,13560,402,12773,445,13173,455,12582,475,13856,432,9670
Universitas Methodist Indonesia,ODhFMzgzRTMtOUJBMS00MEEyLTlENUItNDgwOEMyNjY5N0Q5,Jalan Hang Tuah No 8 ,Kec. Medan Polonia,0614536465,info@methodist.ac.id,www.methodist.ac.id,198,6088,192,5044,226,5632,267,5065,300,5690,261,4410,297,5616,268,4328
Universitas Katolik Santo Thomas,QzVBQjI5ODctQzNCNy00Q0FBLUEwNkItQ0IxNjYyOEFGMEIx,Jalan Setia Budi Nomor 479 F Tanjung Sari,Kec. Medan Selayang,061 8210161,info@ust.ac.id,www.ust.ac.id,252,4765,224,4612,256,5371,244,5351,285,6206,279,6163,299,6172,273,4626
Universitas Muhammadiyah Bengkulu,MDI1RUZDQTgtMEYzMS00RDY2LTgxMkEtMUZCREMzRDIyNkRB,Jalan Bali Kota Bengkulu 38119 ,Kec. Teluk Segara,(0736) 22765,humas@umb.ac.id,www.umb.ac.id,446,9423,348,8900,433,8649,362,8023,482,8346,402,7043,484,7685,421,833
Universitas Baturaja,MTM1M0MzOTEtMENBRS00MkIwLTlERkMtRjlDQzBENTExRkRE,Jl Ratu Penghulu No 2301 ,Kab. Ogan Komering Ulu,0735-326122,info@unbara.ac.id,www.unbara.ac.id,204,4057,190,3527,201,4132,200,3386,202,3588,194,3193,208,3646,210,3066
Universitas Muhammadiyah Palembang,NkRFOEI0OTgtNUQyQS00RTY1LTlCODItQThEOUMzMzU2OUUy,Jalan Jenderal Ahmad Yani 13 ULU PLAJU PALEMBANG,Kec. Seberang Ulu II,0711-513022,humas@um-palembang.ac.id,www.um-palembang.ac.id,648,14082,655,11294,692,11680,688,10841,725,11426,620,10208,762,11298,695,8667
Universitas Bina Darma,NzIxQ0I4NzctNTg0QS00ODg4LUEwRUEtQzI4MzEwQ0M0QzNE,Jalan Jenderal Ahmad Yani No.12 Plaju,Kec. Plaju,0711-515582,universitas@binadarma.ac.id,www.binadarma.ac.id,344,7339,294,6774,331,7092,277,6770,320,7069,264,6429,270,7353,252,6255
Institut Informatika Dan Bisnis Darmajaya,NDk3OUU5RTYtOTk1Qi00NDA5LTk2OTEtNEJBREI0NUNBNUZB,Jl ZA Pagar Alam No 93 Labuhan Ratu (dh. STMIK-STIE Daramajaya),Kec. Kedaton,"(0721)787214, 781310",info@darmajaya.ac.id,http://darmajaya.ac.id,217,4978,247,6036,250,4918,225,4559,205,4930,213,4610,215,5337,213,2918
Universitas Muhammadiyah Metro,QzRDRjgyQjQtODk0MS00MDRDLUFERDgtMDdEODZDMTIxMkJF,Jl Ki Hajar Dewantara No 116 Iringmulyo Kec Metro Timur,Kota Metro,(0725) 42445-42454,info@ummetro.ac.id,www.ummetro.ac.id,387,5701,324,4904,358,6072,281,5706,335,6131,281,5860,382,6307,267,46
Universitas Budi Luhur,MTdBOTVCQkItMjE0RS00NkM1LTkyNEEtQTNEMEVDMTc2Q0Qx,Jalan Ciledug Raya Petukangan Utara,Kec. Pesanggrahan,021-5853753,rektor@budiluhur.ac.id,www.budiluhur.ac.id,1035,13000,907,12373,972,12917,787,12284,886,12367,756,11126,900,13057,790,9786
Universitas Paramadina,QUM2NzAwMEItMEMxRi00NjRGLTlDOTEtRTZFODc1Nzk0RUM4,Jl Jenderal Gatot Subroto 97 ,Kota Jakarta Selatan,021-79181188,akreditasi@paramadina.ac.id,www.paramadina.ac.id,158,3264,157,3069,179,3961,180,3939,190,4405,182,4264,190,4791,210,4964
Universitas Bhayangkara Jakarta Raya,MUE0QjJERUItNTE5RC00RTI3LTgxRUYtNDM1QzNCQjY2MUQ3,Jalan Harsono RM no 67 Ragunan Pasar Minggu Jakarta Selatan ,Kota Jakarta Selatan,021-88955882,ubj@ubharajaya.ac.id,www.ubharajaya.ac.id,354,11031,347,10377,423,10183,426,9491,399,10253,412,9547,440,10379,463,9496
Universitas Katolik Indonesia Atma Jaya,NUM1MEIxNEQtN0VBMC00QzBELUEzRTAtOEQ0QzdGNTAyNEY4,Jalan Jenderal Sudirman 51 ,Kota Jakarta Selatan,021-5734354,rek@atmajaya.ac.id,www.atmajaya.ac.id,714,11286,730,10255,772,10486,749,9815,811,10109,774,9523,849,10210,778,9407
Universitas Pertamina,RkM0OTE1OUUtQTVDNy00QkUyLUIxRjktNTg1RDQwNzNFODhC," Jalan Teuku Nyak Arief, Simprug, Kecamatan Kebayoran Lama",Kota Jakarta Selatan,+6221 29044308,info@universitaspertamina.ac.id,https://universitaspertamina.ac.id,185,5312,223,5119,213,6383,210,5515,241,6017,279,5525,280,5729,290,4797
Universitas Bunda Mulia,QUVENzVGQzItNEM3OS00QzMwLTgzNDgtOTFDMDYyOEYxMzJC,Jalan Lodan Raya No 2 ,Kota Jakarta Utara,021-6209090,info@ubm.ac.id,http://www.ubm.ac.id,284,7988,259,8300,353,8048,361,7733,398,9571,346,8471,447,9144,387,7974
Universitas Gunadarma,Qzg4MkIyNDMtNzYwNS00MkQ2LTlBRkEtQTJDOEQ1NkQwOUVE,Jalan Margonda Raya 100 Pondok Cina,Kec. Beji,021-78881112,sektor@gunadarma.ac.id,www.gunadarma.ac.id,2497,42178,2280,39348,2587,42891,2748,39065,2790,43215,3038,38132,3272,41139,2911,705
Universitas Kristen Indonesia,ODcyOTI4MDUtQ0U4RC00NzdELTg5NTAtRTJFNjZGODkzRTlD,"Jalan Mayjen Sutoyo, Cawang ",Kec. Kramat Jati,"021 8094245, 8009190",baa@uki.ac.id; baak@uki.ac.id,https://www.uki.ac.id/,470,5016,530,4607,532,5174,547,5183,545,6170,542,5798,537,6513,560,6170
Universitas Kristen Krida Wacana,MUQ1MUM0RjUtRTU4My00RTJGLUJERTUtMDRGRkNGOEQ2MzRB,Jl Tanjung Duren Raya No 4 ,Kota Jakarta Barat,021 566 6952-55,univ.secretary@ukrida.ac.id,www.ukrida.ac.id,224,4221,233,3723,319,4012,289,3618,313,3839,339,3651,319,3997,364,588
Universitas Presiden,OUIyQ0UwOTQtODYwRC00MDc4LTk5N0MtRDY1OTYwM0MzNzUy,"Jl. Ki Hajar Dewantara, Kota Jababeka, Cikarang Baru, Bekasi ",Kec. Cikarang Pusat,(021) 8910 9762-63,rector@president.ac.id,www.president.ac.id,271,8095,317,7873,247,6561,229,6443,311,6855,251,6534,249,7141,249,7027
Universitas Muhammadiyah Jakarta,QkVCMDk2NjMtQjYyQy00MTFCLThFRDctMDBBMjc3QjE5MzJD,"Jalan KH Ahmad Dahlan, Cirendeu, Ciputat",Kec. Ciputat,(021)7401894,info@umj.ac.id,www.umj.ac.id,981,22728,1011,19633,1090,21214,1054,19501,1126,20332,998,18011,1141,19361,1105,14897
